algorithm,model_path,env_type,n_episodes,seed,deterministic,mean_return,std_return,min_return,max_return,success_rate
PPO,models/best/ppo_push_none_source_5000k_lr_0p0003_seed_0/best_model.zip,target,50,1,True,-2.7491884231567383,1.9169740676879883,-6.200247764587402,-0.007873999886214733,0.5
PPO,models/best/ppo_push_none_source_5000k_lr_0p0003_seed_0/best_model.zip,target,50,100,True,-3.4669580459594727,2.084404230117798,-7.052631855010986,-0.0228240005671978,0.4
PPO,models/best/ppo_push_none_source_5000k_lr_0p0003_seed_0/best_model.zip,target,50,150,True,-3.154409170150757,2.2202930450439453,-7.693716049194336,-0.013709000311791897,0.42
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,0,True,-3.18864369392395,1.9998151063919067,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,1,True,-3.1950294971466064,2.004521131515503,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,100,True,-3.8671460151672363,2.020592451095581,-6.665246963500977,-0.0228240005671978,0.18
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,150,True,-3.4130983352661133,2.172563076019287,-6.243299961090088,-0.013709000311791897,0.26
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,90,True,-3.6620261669158936,1.9895340204238892,-6.665246963500977,-0.013063999824225903,0.2
PPO,models/best/ppo_push_udr_train_source_m_1p0_5p5_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_1p0_5p5_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/best/sac_push_none_source_dense_1000k_lr_0p001_gamma_0p99_tau_0p005_ent_0p2_ls_10000_her_4_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/best/sac_push_none_source_dense_1000k_lr_0p001_gamma_0p99_tau_0p005_ent_0p2_ls_10000_her_4_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_1p0_5p5_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,1,True,-3.195039987564087,2.004534959793091,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_1p0_5p5_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,3,True,-3.1421608924865723,2.0617315769195557,-6.200247764587402,-0.00787500012665987,0.26
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p001_ent_0p0_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
TD3+HER,models/best/td3_her_push_none_source_dense_1000k_lr_0p001_gamma_0p99_tau_0p005_noise_0p1_ls_10000_her_4_arch_256-256-256_seed_0/best_model.zip,source,dense,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
TD3+HER,models/best/td3_her_push_none_source_dense_1000k_lr_0p001_gamma_0p99_tau_0p005_noise_0p1_ls_10000_her_4_arch_256-256-256_seed_0/best_model.zip,target,dense,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p001_ent_0p0_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p001_ent_0p0_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p001_ent_0p0_seed_0/best_model.zip,source,50,1,True,-3.195040225982666,2.004534959793091,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p001_ent_0p0_seed_0/best_model.zip,source,50,100,True,-3.8670952320098877,2.020524263381958,-6.662800312042236,-0.0228240005671978,0.18
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,0,True,-2.6722207069396973,2.1687352657318115,-6.200901031494141,-0.00787500012665987,0.4
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,0,True,-2.6722207069396973,2.1687352657318115,-6.200901031494141,-0.00787500012665987,0.4
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,1,True,-2.678379535675049,2.1748204231262207,-6.200901031494141,-0.00787500012665987,0.4
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,3,True,-2.7612228393554688,2.199281930923462,-6.200901031494141,-0.00787500012665987,0.38
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,0,True,-2.676109552383423,2.165243148803711,-6.200901031494141,-0.00787500012665987,0.4
PPO,models/best/ppo_push_none_source_dense_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,0,True,-2.676109552383423,2.165243148803711,-6.200901031494141,-0.00787500012665987,0.4
